Round,ezdos,eztcs,ab2btl1,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl11,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl11,ab22btl12,ab22btl17,ab22btl18,ab22btl19,ab22btl05,ab22btl08,ab22btl11,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl12,ab22btl14,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl07,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,bash3ctf3,bash3ctf1,bash3ctf12,bash3ctf1,bash3ctf2,bash3ctf3,ab22ctf01,ab22ctf02,ab22ctf03,ab5ctf1,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf15,ab22ctf16,ab22CTF17,ab22CTF18,ab22CTF19,ab22CTF20,ab22ctf02,ab22ctf07,ab22ctf08,ab22ctf10,ab22ctf11,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl20,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl03,ab22btl11,ab22btl02,ab22btl03,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22ctf02,ab22ctf02,ab22ctf03,ab22ctf15,ab22ctf17,ab22ctf18,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf01,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,gw,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf03,ezastro,eztcs,ezdaybreak,ezdaybreak,ab2ctf14,olcjunge,ezdaybreak,ezmoon,ezmoon,mlynepitome,mlynepitome,ezdos,ezdos,ezastro,ezastro,evilmike211,evilmike211,sebow,xlmfishing,olcmdvl,ab22ctf01,techtree,pinball2k15,olcpitctf,ab22ctf19,2upsbreach2,am,2updnc,hellwarp,ezmaelstrom,snxus02,ab16btl08,ab22btl08,ab16btl03,ab22btl17,survivor20,ab21btl19,eztundra,ab21btl13,sc2aend,survivor10,survivor24,mingfpack12,survivor06,mingfpack6,survivor13,survivor23,mingfpack11,xlmff11,survivor08,survivor29,mlsurv08,survivor27,mingfpack3,survivor17,mingfpack2,survivor09,mingfpack1,survivor25,xlmff04,survivor19,survivor02,survivor20,mingfpack25,mingfpack5,survivor16,survivor12,mingfpack15,survivor07,survivor21,mingfpack9,survivor04,survivor22,mingfpack34,survivor03,survivor30,survivor28,survivor28,Total
Bee-CDF-,,,0,11,18,15,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3417
Lavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,54,0,126,15,27,31,,,,,,,,,,5,1,0,1,1,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,10,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30823
-t3>KeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,84,34,84,,,0,90,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,147,126,95,50,,,,,,,,,,,,,12,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.11504
-t3>Plumbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,177,90,190,42,90,80,34,,99,37,21,56,161,250,40,167,99,255,110,37,98,26,265,21,16,210,185,62,127,73,37,0,83,104,0,167,122,99,116,99,335,12,6,45,74,0,5.03459
Rainbow jazz RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,0,1,2,3,1,5,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37608
[CDF]Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,7,3,,,,,,,,,,,,,,3,,,,,,,,,0,146,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11129
Brinko ikamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,37,23,72,59,89,120,63,50,35,42,45,,0,87,83,53,89,32,32,91,42,42,42,,,,,,,3.90054
init,,,,,,,,,,,,,,,,,,,,,,,2,6,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84951
[NL]8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71657
[NL]MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71657
VegitoCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6564
pav,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63565
KÎLLËR<ÑÇ>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27058
5000 iq,,,,,,,2,2,3,0,0,3,5,3,7,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25147
dubby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,18,142,6,83,11,17,52,44,182,27,360,177,58,72,62,194,72,37,6,56,105,250,57,33,6,161,90,0,172,62,246,25,3.23077
::1_\5PL4T1_\::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12192
[CDF]shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,,,4,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97326
ShadowGPW,,,,,,,,,,,,,2,1,4,5,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88011
Mohamed[EGY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,0,4,,,,,,,,,,,,,,,,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82459
